destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
,Castilla y León,Burgos,Cardeñadijo,true,0907301,Casa consistorial de Cardeñadijo,09073,Pública,false,Infraestructuras,Sin uso,"La casa consistorial, junto con el polideportivo y el centro de salud, fueron proyectados en 2003 por la UTE MD Proycon y la Promotora Santa Catalina en suelo cedido por el municipio. No obstante, el Ayuntamiento de Cardeñadijo nunca los recepcionó y no se llegaron a usar; varios cargos del consistorio fueron acusados de prevaricación y falsificación documental, aunque fueron absueltos. Finalmente, en marzo de 2023, han pasado a ser edificios públicos y serán reparados para darles un nuevo uso, según explican desde <a href=""https://www.diariodeburgos.es/amp/noticia/z5a710fd9-d96d-9d96-31a034df4813f22f/202303/cardenadijo-reparara-tres-edificios-abandonados"" target=""_blank""><i>Diario de Burgos</i></a>. De momento se desconoce el uso que se le dará finalmente. Las imágenes más recientes disponibles en Google Maps son de octubre de 2013.","Calle el Carmen, 09195",42.2991516,-3.6673099,"https://www.google.com/maps/@42.2991516,-3.6673099,3a,75y,219.5h,100.08t/data=!3m6!1e1!3m4!1sM8O3jTuhDUIAINth-GE1BA!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,A. B. P. V.,Previo al lanzamiento del proyecto
,Aragón,Teruel,Escucha,true,4409901,Casa de Cultura,44099,Pública,false,Otros,Sin uso,"A la espera de confirmación por parte del Ayuntamiento de Escucha, vecinos de la localidad comentan que la estructura iba a albergar una Casa de Cultura. Pese a que las imágenes de Google Maps muestran que los andamios llevan ahí desde 2011, algunas fuentes apuntan a que comenzó a construirse en la década de los 90, pero que se paró por falta de subvenciones.","Calle Cabecico del Moro 3, 44770",40.7929656,-0.8109799,"https://www.google.com/maps/@40.7929862,-0.8114567,3a,75y,328.63h,127.44t/data=!3m6!1e1!3m4!1sjwct2ZWLmVX4wgUGpBa5vw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/escucha_1.jpg,,,,,,Centro Territorial RTVE Aragón,Previo al lanzamiento del proyecto
,Castilla-La Mancha,Toledo,Toledo,true,4516801,Casa de la Juventud,45168,Pública,false,Otros,Sin uso,"La Casa de la Juventud preveía abrir sus puertas en 2011, según informaba <a href=""https://www.europapress.es/castilla-lamancha/noticia-casa-juventud-toledo-podria-abrir-puertas-septiembre-ano-20110121140431.html"" target=""_blank""><i>Europa Press</i></a> por aquel entonces. Sin embargo, pese a que se ha avanzado ligeramente en la construcción desde entonces, el edificio sigue a medias (las imágenes de Google Maps solo alcanzan hasta agosto de 2019). Desde el Centro Territorial de Castilla-La Mancha informan de que la alcaldesa de la ciudad, Milagros Tolón, comentó en un acto que la idea era finalizarlo en la próxima legislatura.","Calle de Dinamarca 7, 45005",39.8774391,-4.0276999,"https://www.google.com/maps/@39.8774391,-4.0276999,3a,75y,271.48h,102.25t/data=!3m6!1e1!3m4!1sVesUBVlz1ck1kgyHfqbYzg!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_1.jpg,Eva Villasante,https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_12.jpg,Eva Villasante,https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_13.jpg,Eva Villasante,DatosRTVE,Previo al lanzamiento del proyecto
,Asturias,Asturias,Tarna (Caso),true,2522703,Casa del Urogallo,33015,Pública,false,Otros,Sin uso,"En 2010, <a href=""https://www.lne.es/nalon/2010/05/08/casa-urogallo-inaugura-vacia-21344073.html"" target=""_blank""><i>La Nueva España</i></a> informaba de la inauguración de la Casa del Urogallo ""sin exposiciones ni equipamiento interior"" y <a href=""https://www.lne.es/cuencas/2020/06/01/casa-urogallo-tarna-museo-fallido-14545038.html"" target=""_blank"">en 2020</a> que el espacio fue cedido a los vecinos de la parroquia de Tarna, pero ""que no pueden usarla porque no hay suministro de agua"". El portal <a href=""http://www.sendasdeasturias.com/nalon/item/61-casa-del-urogallo.html"" target=""_blank"">Sendas de Asturias</a> cifra su inversión en más de 600.000 euros. Fuentes del Ayuntamiento de Caso, de quien depende Tarna, confirman que sigue sin usarse.","AS-117, 33997",43.1104223,-5.2255192,"https://www.google.com/maps/@43.1104223,-5.2255192,3a,75y,263.62h,82.5t/data=!3m6!1e1!3m4!1svlLOr2wAQ0tny5FsX6ySbg!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Sendas de Asturias,Previo al lanzamiento del proyecto
,Cataluña,Tarragona,Les Pedreres (Santa Oliva),true,4314002,Casas inacabadas,43140,Privada,false,Residencial,Sin uso,"El Ayuntamiento de Santa Oliva asegura que la construcción de esas casas sigue parada. Aseguran que las empresas responsables solicitaron una prórroga para poder finalizarlas, pero no llegaron a tiempo. Las imágenes más recientes de Google Street View son de agosto de 2022, pero desde 2012 se ve que están en pie.","Carrer de Sant Maties 25, 43710",41.2347719,1.5374844,"https://www.google.com/maps/@41.2347719,1.5374844,3a,75y,190.81h,90.33t/data=!3m6!1e1!3m4!1s8rOTLElbaEG-z2T757WJTQ!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Ayuntamiento Santa Oliva,16/06/2023
,País Vasco,Vizcaya,Lemoiz,true,4805601,Central nuclear de Lemoiz,48056,Pública,false,Infraestructuras,Sin uso,"La central nuclear de Lemóniz que sufrió la oposición de la banda terrorista ETA, que llegó a matar a varias personas en sus atentados contra el proyecto y lo saboteó cientos de veces. El complejo nunca llegó a ponerse en marcha ​debido a la moratoria nuclear aprobada por el gobierno de Felipe González en el año 1984. En 2017 se habló de la posibilidad de <a href=""https://www.rtve.es/play/audios/espanoles-en-la-mar/espanoles-mar-lemoniz-central-nuclear-abandonada-puede-convertirse-gran-piscifactoria-10-11-17/4302441/"" target=""_blank"">reconvertirla en una piscifactoría</a>, como explicaron en <i>Españoles en la mar</i>, de RNE. Dos años después, el Ministerio para la Transición Ecológica <a href=""https://www.miteco.gob.es/es/prensa/ultimas-noticias/el-ministerio-aprueba-la-orden-por-la-que-se-ceden-los-terrenos-emplazamientos-e-instalaciones-de-la-central-nuclear-de-lem%C3%B3niz-a-la-comunidad-a/tcm:30-502838"" target=""_blank"">aprobó la cesión</a> de los terrenos, emplazamientos e instalaciones de la central nuclear al Gobierno vasco.","BI-3151, 48620",43.4334374,-2.876227,"https://www.google.com/maps/@43.4334374,-2.876227,3a,75y,89.86h,89.46t/data=!3m6!1e1!3m4!1s1y4LstltuQEsVYJQWnNDyw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/lemoniz_1.jpg,Luis Tejido (EFE),,,,,Enrique Sánchez,Previo al lanzamiento del proyecto
,Extremadura,Badajoz,Valdecaballeros,true,0613701,Central nuclear de Valdecaballeros,06137,Pública,false,Infraestructuras,Sin uso,"Se trata de una central nuclear que, con la moratoria nuclear del PSOE de 1984, nunca se llegó a usar porque su construcción, iniciada en 1975, no se terminó. El Gobierno central ha dado orden para demoler la presa que se construyó para refrigerar sus reactores, algo que no se ha sentado bien ni a los Ayuntamientos cercanos (Valdecaballeros y Castilblanco) ni a la Junta de Extremadura, tal y como explicaban desde el <a href=""https://www.rtve.es/play/videos/noticias-de-extremadura/21-03-2023/6839180/"" target=""_blank"">Centro Territorial de Extremadura de RTVE</a>. Las imágenes de Google Maps son de abril de 2011.","Paraje Valdecaballeros, 06689",39.2852369,-5.1800067,"https://www.google.com/maps/@39.2852369,-5.1800067,3a,75y,1.34h,97.21t/data=!3m7!1e1!3m5!1sinaVno3cQIK92Xy-1FTzPA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DinaVno3cQIK92Xy-1FTzPA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D340.8807%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/valdecaballeros_1.jpg,Mario Ramos (EFE),https://rtve.es/contenidos/fotos/datos/2023/hormigon/valdecaballeros_12.jpg,Mario Ramos (EFE),,,Manuel Pozo,Previo al lanzamiento del proyecto
,Comunidad de Madrid,Comunidad de Madrid,Madrid,true,2807901,Centro acuático,28079,Pública,false,Deportivo,Sin uso,"<a href=""https://www.federacionmadridnatacion.es/index.php/fmn/noticias-fmn/145-que-es-el-centro-acuatico-y-que-supondria-para-madrid"" target=""_blank"">La Federación Madrileña de Natación explicaba en 2019</a> el origen de este proyecto, adjudicado en 2004 por 136 millones de euros ""para albergar los deportes acuáticos de natación, saltos, waterpolo y natación artística de los Juegos Olímpicos del año 2012 que Madrid quería organizar"". Las obras, no obstante, se pararon en 2010 y en 2013 el Ayuntamiento de Madrid modificó el proyecto inicial para poder optar de nuevo a albergar los Juegos en 2020, elevando los costes hasta rozar los 200 millones. La Federación Madrileña de Natación presentó una propuesta para dar viabilidad al centro, tal y como recogió <a href=""https://www.rtve.es/deportes/20190506/federacion-presenta-proyecto-para-rescatar-centro-acuatico-del-madrid-olimpico/1932506.shtml"" target=""_blank""><i>rtve.es</i></a>, y el Atlético de Madrid también consideró hacer uso de la estructura en su futura Ciudad del Deporte, pero tampoco se materializó esta iniciativa, como explican en el portal <a href=""https://www.idealista.com/news/inmobiliario/construccion/2022/07/26/798076-el-centro-acuatico-de-madrid-el-olvidado-de-la-ciudad-del-deporte-tras-12-anos"" target=""_blank"">Idealista</a>.",28022,40.4401085,-3.6063973,"https://www.google.com/maps/@40.4379219,-3.6004474,3a,75y,347.12h,98.24t/data=!3m6!1e1!3m4!1sxnwoAxl3G5bbUhdEbpbGyw!2e0!7i16384!8i8192?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/madrid_1.jpg,Félix Donate,https://rtve.es/contenidos/fotos/datos/2023/hormigon/madrid_12.jpg,Félix Donate,,,Isabel Nieves Terán / Félix Donate,30/03/2023
,Comunidad de Madrid,Comunidad de Madrid,Leganés,true,2807401,Centro Cívico Municipal,28074,Pública,false,Otros,Sin uso,"El Centro Cívico Municipal comenzó a construirse en 2010, tal y como se recoge en la <a href=""https://avleganesnorte.wordpress.com/2010/04/03/por-fin-empiezan/"" target=""_blank"">web de la Asociación Vecinal de Leganés Norte</a>. La obra debía estar acabada un año más tarde, según explican en <a href=""http://www.dleganes.net/2017/03/la-mala-gestion-de-ppsoe-iucm-en-los.html"" target=""_blank""><i>DLEGANÉS</i></a>.La misma entidad vecinal <a href=""https://avleganesnorte.wordpress.com/2021/01/28/alegaciones-presentadas-a-los-presupuestos-municipales-2021-seguimos-castigados-no-hay-inversiones-para-leganes-norte/"" target=""_blank"">presentaba en 2021 alegaciones</a> sobre este y otros proyectos inacabados en la localidad madrileña.","Calle Gabriela Mistral 6, 28919",40.344029,-3.7459893,"https://www.google.es/maps/@40.344029,-3.7459893,3a,75y,82.11h,93.84t/data=!3m6!1e1!3m4!1sVv13saaByqs0HfzIWG7OGg!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/leganes_1.jpg,,https://rtve.es/contenidos/fotos/datos/2023/hormigon/leganes_12.jpg,,,,Jaime Gutiérrez,Previo al lanzamiento del proyecto
,Comunidad Valenciana,Valencia,Alzira,true,4601701,Centro comercial Vilella,46017,Privada,false,Comercial/ocio,Sin uso,"Vecinos del municipio comentan que ese espacio iba a estar destinado para el futuro Centro Comercial Vilella, pero que finalmente el edificio no se construyó en su totalidad debido a la falta de inversión, tal y como recogía en 2010 el medio <a href=""https://www.elseisdoble.com/vernoticia/4897/los_promotores_del_centro_comercial_vilella_en_alzira_abandonan_definitivamente_el_proyecto"" target=""_blank""><i>elseisdoble.com</i></a>. En 2022, según <a href=""https://www.levante-emv.com/ribera/2022/10/25/consell-respalda-almacenar-agua-vilella-77703043.html"" target=""_blank""><i>Levante</i></a>, la federación de vecinos buscaba el apoyo del director general del Agua para que la parcela donde se haya la estructura, ahora propiedad de la Sareb, funcione como almacén de agua para evitar inundaciones.","CV-571 16, 46600",39.1417604,-0.4372937,"https://www.google.com/maps/@39.1417604,-0.4372937,3a,75y,78.82h,90.48t/data=!3m6!1e1!3m4!1sZNHjCdGVAtI67IWp5-Na0Q!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alzira_1.jpg,Gema Pellicer y María Pellicer,,,,,Cadáveres inmobiliarios,Previo al lanzamiento del proyecto
,Región de Murcia,Región de Murcia,Torre-Pacheco,true,3003702,Centro de control de la contaminación atmosférica,30037,Pública,false,Otros,Sin uso,"Se trata de una construcción desarrollada por la Región de Murcia pensada para agrupar los dispositivos de análisis y previsión de la calidad del aire que nunca se puso en funcionamiento. La obra data de 2010 y fuentes del Ayuntamiento de Torre-Pacheco apuntan a que rehabilitarlo costaría un millón de euros, ya que el abandono y la falta de vigilancia, así como algunos actos de vandalismo, han acelerado su deteriorola. Desde el consistorio llevan años pidiendo que se ceda al Instituto Gerardo Molina para que cuentan con más espacio para el alumnado, <a href=""https://www.murcia.com/torrepacheco/noticias/2021/11/03-abandono-del-centro-de-control-de-la-contaminacion-atmosferica-de-torre-pacheco.asp"" target=""_blank"">tal y como se recoge en <i>Murcia.com</i></a>.",30700,37.741559891717436,-0.9678042861428098,"https://www.google.com/maps/@37.7424533,-0.9666056,3a,36.2y,225.69h,92.67t/data=!3m6!1e1!3m4!1sy98l6lmm-i9ksqfGmdCRmQ!2e0!7i13312!8i6656?entry=ttu",https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_2.jpg,Ayuntamiento Torre-Pacheco,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_21.jpg,Ayuntamiento Torre-Pacheco,https://rtve.es/contenidos/fotos/datos/2023/hormigon/torrepacheco_22.jpg,Ayuntamiento Torre-Pacheco,Ayuntamiento Torre-Pacheco,08/06/2023
,Comunidad de Madrid,Comunidad de Madrid,Alcorcón,true,2800701,Centro de Creación de las Artes de Alcorcón (CREAA),28007,Pública,false,Otros,Sin uso,"Iba a ser el Centro de Creación de las Artes de Alcorcón (CREAA). En 2023, si el PSOE gana las elecciones, se pretende acabarlo y habilitar un espacio contra la violencia de género, según aclara el medio <a href=""https://alcorconhoy.com/creaa-alcorcon-mas-cerca-convertirse-en-ciudad-audiovisual"" target=""_blank""><i>alcorconhoy.com</i></a>.","Av. de la Libertad s/n, 28925",40.3514669,-3.8065464,"https://www.google.com/maps/@40.3514669,-3.8065464,3a,75y,28.02h,90.55t/data=!3m6!1e1!3m4!1s8IEabplRvpI3Nfkj74EaSw!2e0!7i16384!8i8192?hl=es",https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_1.jpg,Silvia Quílez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_12.jpg,Jaime Gutiérrez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/alcorcon_13.jpg,Jaime Gutiérrez,Isabel Nieves Terán,Previo al lanzamiento del proyecto
