fecha,indicativo,nombre_completo,provincia,tmax,tmax_median,anomalia,anomalia_positiva,anomalia_negativa,texto_anomalia,texto_fecha,tipo_anomalia,color_anomalia
2024-05-20,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,21.3,22.7,-1.4,22.7,21.3,"-1,4",20 may.,▼,#2171b5
2024-05-21,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,22.3,23,-0.7,23,22.3,"-0,7",21 may.,▼,#2171b5
2024-05-21,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,21.9,24,-2.1,24,21.9,"-2,1",21 may.,▼,#2171b5
2024-05-22,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.7,23.7,1,24.7,23.7,+1,22 may.,▲,#cb181d
2024-05-22,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,23.7,24.7,-1,24.7,23.7,-1,22 may.,▼,#2171b5
2024-05-23,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.4,24,1.4,25.4,24,"+1,4",23 may.,▲,#cb181d
2024-05-23,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,26.9,27.5,-0.6,27.5,26.9,"-0,6",23 may.,▼,#2171b5
2024-05-24,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.6,24,-0.4,24,23.6,"-0,4",24 may.,▼,#2171b5
2024-05-24,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,30,26.5,3.5,30,26.5,"+3,5",24 may.,▲,#cb181d
2024-05-25,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.9,23.4,1.5,24.9,23.4,"+1,5",25 may.,▲,#cb181d
2024-05-25,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,31.2,24.7,6.5,31.2,24.7,"+6,5",25 may.,▲,#cb181d
2024-05-26,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,26.3,23.7,2.6,26.3,23.7,"+2,6",26 may.,▲,#cb181d
2024-05-26,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,31.1,25.6,5.5,31.1,25.6,"+5,5",26 may.,▲,#cb181d
2024-05-27,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.9,23.6,2.3,25.9,23.6,"+2,3",27 may.,▲,#cb181d
2024-05-27,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,NA,25.1,NA,NA,NA,NA,27 may.,NA,NA
2024-05-28,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,32.6,24,8.6,32.6,24,"+8,6",28 may.,▲,#cb181d
2024-05-28,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.1,24,0.1,24.1,24,"+0,1",28 may.,▲,#cb181d
2024-05-28,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,32.6,27.2,5.4,32.6,27.2,"+5,4",28 may.,▲,#cb181d
2024-05-28,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,24.1,27.2,-3.1,27.2,24.1,"-3,1",28 may.,▼,#2171b5
2024-05-29,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,34.4,24.1,10.3,34.4,24.1,"+10,3",29 may.,▲,#cb181d
2024-05-29,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.7,24.1,0.6,24.7,24.1,"+0,6",29 may.,▲,#cb181d
2024-05-29,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,34.4,25.3,9.1,34.4,25.3,"+9,1",29 may.,▲,#cb181d
2024-05-29,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,24.7,25.3,-0.6,25.3,24.7,"-0,6",29 may.,▼,#2171b5
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.9,24,0.9,24.9,24,"+0,9",30 may.,▲,#cb181d
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,35.4,24,11.4,35.4,24,"+11,4",30 may.,▲,#cb181d
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.9,24,0.9,24.9,24,"+0,9",30 may.,▲,#cb181d
2024-05-30,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,35.4,27.3,8.1,35.4,27.3,"+8,1",30 may.,▲,#cb181d
2024-05-30,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,35.4,27.3,8.1,35.4,27.3,"+8,1",30 may.,▲,#cb181d
2024-05-31,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.8,24.2,0.6,24.8,24.2,"+0,6",31 may.,▲,#cb181d
2024-05-31,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.8,24.2,0.6,24.8,24.2,"+0,6",31 may.,▲,#cb181d
2024-05-31,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,34.4,28.8,5.6,34.4,28.8,"+5,6",31 may.,▲,#cb181d
2024-05-31,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,34.4,28.8,5.6,34.4,28.8,"+5,6",31 may.,▲,#cb181d
2024-06-01,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.4,23.8,1.6,25.4,23.8,"+1,6", 1 jun.,▲,#cb181d
2024-06-01,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,32.5,27.8,4.7,32.5,27.8,"+4,7", 1 jun.,▲,#cb181d
2024-06-02,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.6,24,1.6,25.6,24,"+1,6", 2 jun.,▲,#cb181d
2024-06-02,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,30.6,28.6,2,30.6,28.6,+2, 2 jun.,▲,#cb181d
2024-06-03,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.5,24.4,1.1,25.5,24.4,"+1,1", 3 jun.,▲,#cb181d
2024-06-03,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,30.3,28.7,1.6,30.3,28.7,"+1,6", 3 jun.,▲,#cb181d
2024-06-04,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.2,24.4,-0.2,24.4,24.2,"-0,2", 4 jun.,▼,#2171b5
2024-06-04,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,31.8,28.4,3.4,31.8,28.4,"+3,4", 4 jun.,▲,#cb181d
2024-06-05,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.7,24.1,-0.4,24.1,23.7,"-0,4", 5 jun.,▼,#2171b5
2024-06-05,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,32.7,28.2,4.5,32.7,28.2,"+4,5", 5 jun.,▲,#cb181d
2024-06-06,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.6,24.2,0.4,24.6,24.2,"+0,4", 6 jun.,▲,#cb181d
2024-06-06,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,34.7,29.1,5.6,34.7,29.1,"+5,6", 6 jun.,▲,#cb181d
2024-06-07,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.8,24.9,0.9,25.8,24.9,"+0,9", 7 jun.,▲,#cb181d
2024-06-07,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,32.8,27.8,5,32.8,27.8,+5, 7 jun.,▲,#cb181d
2024-06-08,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,24.3,24.6,-0.3,24.6,24.3,"-0,3", 8 jun.,▼,#2171b5
2024-06-08,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.1,24.6,0.5,25.1,24.6,"+0,5", 8 jun.,▲,#cb181d
2024-06-08,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,24.3,27.3,-3,27.3,24.3,-3, 8 jun.,▼,#2171b5
2024-06-08,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,25.1,27.3,-2.2,27.3,25.1,"-2,2", 8 jun.,▼,#2171b5
2024-06-09,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.4,24.5,-1.1,24.5,23.4,"-1,1", 9 jun.,▼,#2171b5
2024-06-09,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.3,24.5,0.8,25.3,24.5,"+0,8", 9 jun.,▲,#cb181d
2024-06-09,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,23.4,27.2,-3.8,27.2,23.4,"-3,8", 9 jun.,▼,#2171b5
2024-06-09,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,25.3,27.2,-1.9,27.2,25.3,"-1,9", 9 jun.,▼,#2171b5
2024-06-10,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,23.8,24.4,-0.6,24.4,23.8,"-0,6",10 jun.,▼,#2171b5
2024-06-10,C129V,Fuencaliente (Sta. Cruz de Tenerife),Mayor anomalía,25.2,24.4,0.8,25.2,24.4,"+0,8",10 jun.,▲,#cb181d
2024-06-10,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,23.8,27.7,-3.9,27.7,23.8,"-3,9",10 jun.,▼,#2171b5
2024-06-10,5341C,Fuencaliente (Ciudad Real),Mayor anomalía,25.2,27.7,-2.5,27.7,25.2,"-2,5",10 jun.,▼,#2171b5
2024-05-14,5341C,Fuencaliente (Ciudad Real),Ciudad Real,19.9,23.2,-3.3,23.2,19.9,"-3,3",14 may.,▼,#2171b5
2024-05-15,5341C,Fuencaliente (Ciudad Real),Ciudad Real,19.2,25,-5.8,25,19.2,"-5,8",15 may.,▼,#2171b5
2024-05-16,5341C,Fuencaliente (Ciudad Real),Ciudad Real,19.7,25.6,-5.9,25.6,19.7,"-5,9",16 may.,▼,#2171b5
2024-05-17,5341C,Fuencaliente (Ciudad Real),Ciudad Real,21.5,24.7,-3.2,24.7,21.5,"-3,2",17 may.,▼,#2171b5
2024-05-18,5341C,Fuencaliente (Ciudad Real),Ciudad Real,23.7,24.6,-0.9,24.6,23.7,"-0,9",18 may.,▼,#2171b5
2024-05-19,5341C,Fuencaliente (Ciudad Real),Ciudad Real,22.4,23.2,-0.8,23.2,22.4,"-0,8",19 may.,▼,#2171b5
2024-05-20,5341C,Fuencaliente (Ciudad Real),Ciudad Real,21.3,22.7,-1.4,22.7,21.3,"-1,4",20 may.,▼,#2171b5
2024-05-21,5341C,Fuencaliente (Ciudad Real),Ciudad Real,21.9,24,-2.1,24,21.9,"-2,1",21 may.,▼,#2171b5
2024-05-22,5341C,Fuencaliente (Ciudad Real),Ciudad Real,23.7,24.7,-1,24.7,23.7,-1,22 may.,▼,#2171b5
2024-05-23,5341C,Fuencaliente (Ciudad Real),Ciudad Real,26.9,27.5,-0.6,27.5,26.9,"-0,6",23 may.,▼,#2171b5
2024-05-24,5341C,Fuencaliente (Ciudad Real),Ciudad Real,30,26.5,3.5,30,26.5,"+3,5",24 may.,▲,#cb181d
2024-05-25,5341C,Fuencaliente (Ciudad Real),Ciudad Real,31.2,24.7,6.5,31.2,24.7,"+6,5",25 may.,▲,#cb181d
2024-05-26,5341C,Fuencaliente (Ciudad Real),Ciudad Real,31.1,25.6,5.5,31.1,25.6,"+5,5",26 may.,▲,#cb181d
2024-05-27,5341C,Fuencaliente (Ciudad Real),Ciudad Real,NA,25.1,NA,NA,NA,NA,27 may.,NA,NA
2024-05-28,5341C,Fuencaliente (Ciudad Real),Ciudad Real,32.6,27.2,5.4,32.6,27.2,"+5,4",28 may.,▲,#cb181d
2024-05-28,5341C,Fuencaliente (Ciudad Real),Ciudad Real,24.1,27.2,-3.1,27.2,24.1,"-3,1",28 may.,▼,#2171b5
2024-05-29,5341C,Fuencaliente (Ciudad Real),Ciudad Real,34.4,25.3,9.1,34.4,25.3,"+9,1",29 may.,▲,#cb181d
2024-05-29,5341C,Fuencaliente (Ciudad Real),Ciudad Real,24.7,25.3,-0.6,25.3,24.7,"-0,6",29 may.,▼,#2171b5
2024-05-30,5341C,Fuencaliente (Ciudad Real),Ciudad Real,35.4,27.3,8.1,35.4,27.3,"+8,1",30 may.,▲,#cb181d
2024-05-30,5341C,Fuencaliente (Ciudad Real),Ciudad Real,35.4,27.3,8.1,35.4,27.3,"+8,1",30 may.,▲,#cb181d
2024-05-30,5341C,Fuencaliente (Ciudad Real),Ciudad Real,24.9,27.3,-2.4,27.3,24.9,"-2,4",30 may.,▼,#2171b5
2024-05-31,5341C,Fuencaliente (Ciudad Real),Ciudad Real,34.4,28.8,5.6,34.4,28.8,"+5,6",31 may.,▲,#cb181d
2024-05-31,5341C,Fuencaliente (Ciudad Real),Ciudad Real,34.4,28.8,5.6,34.4,28.8,"+5,6",31 may.,▲,#cb181d
2024-06-01,5341C,Fuencaliente (Ciudad Real),Ciudad Real,32.5,27.8,4.7,32.5,27.8,"+4,7", 1 jun.,▲,#cb181d
2024-06-02,5341C,Fuencaliente (Ciudad Real),Ciudad Real,30.6,28.6,2,30.6,28.6,+2, 2 jun.,▲,#cb181d
2024-06-03,5341C,Fuencaliente (Ciudad Real),Ciudad Real,30.3,28.7,1.6,30.3,28.7,"+1,6", 3 jun.,▲,#cb181d
2024-06-04,5341C,Fuencaliente (Ciudad Real),Ciudad Real,31.8,28.4,3.4,31.8,28.4,"+3,4", 4 jun.,▲,#cb181d
2024-06-05,5341C,Fuencaliente (Ciudad Real),Ciudad Real,32.7,28.2,4.5,32.7,28.2,"+4,5", 5 jun.,▲,#cb181d
2024-06-06,5341C,Fuencaliente (Ciudad Real),Ciudad Real,34.7,29.1,5.6,34.7,29.1,"+5,6", 6 jun.,▲,#cb181d
2024-06-07,5341C,Fuencaliente (Ciudad Real),Ciudad Real,32.8,27.8,5,32.8,27.8,+5, 7 jun.,▲,#cb181d
2024-06-08,5341C,Fuencaliente (Ciudad Real),Ciudad Real,24.3,27.3,-3,27.3,24.3,-3, 8 jun.,▼,#2171b5
2024-06-08,5341C,Fuencaliente (Ciudad Real),Ciudad Real,25.1,27.3,-2.2,27.3,25.1,"-2,2", 8 jun.,▼,#2171b5
2024-06-09,5341C,Fuencaliente (Ciudad Real),Ciudad Real,23.4,27.2,-3.8,27.2,23.4,"-3,8", 9 jun.,▼,#2171b5
2024-06-09,5341C,Fuencaliente (Ciudad Real),Ciudad Real,25.3,27.2,-1.9,27.2,25.3,"-1,9", 9 jun.,▼,#2171b5
2024-06-10,5341C,Fuencaliente (Ciudad Real),Ciudad Real,23.8,27.7,-3.9,27.7,23.8,"-3,9",10 jun.,▼,#2171b5
2024-06-10,5341C,Fuencaliente (Ciudad Real),Ciudad Real,25.2,27.7,-2.5,27.7,25.2,"-2,5",10 jun.,▼,#2171b5
2024-05-14,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.9,23.8,1.1,24.9,23.8,"+1,1",14 may.,▲,#cb181d
2024-05-15,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.9,23.4,0.5,23.9,23.4,"+0,5",15 may.,▲,#cb181d
2024-05-16,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.2,23.7,-0.5,23.7,23.2,"-0,5",16 may.,▼,#2171b5
2024-05-17,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.1,23.7,1.4,25.1,23.7,"+1,4",17 may.,▲,#cb181d
2024-05-18,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.3,24,-0.7,24,23.3,"-0,7",18 may.,▼,#2171b5
2024-05-19,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.9,23.3,1.6,24.9,23.3,"+1,6",19 may.,▲,#cb181d
2024-05-20,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,22.2,23.4,-1.2,23.4,22.2,"-1,2",20 may.,▼,#2171b5
2024-05-21,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,22.3,23,-0.7,23,22.3,"-0,7",21 may.,▼,#2171b5
2024-05-22,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.7,23.7,1,24.7,23.7,+1,22 may.,▲,#cb181d
2024-05-23,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.4,24,1.4,25.4,24,"+1,4",23 may.,▲,#cb181d
2024-05-24,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.6,24,-0.4,24,23.6,"-0,4",24 may.,▼,#2171b5
2024-05-25,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.9,23.4,1.5,24.9,23.4,"+1,5",25 may.,▲,#cb181d
2024-05-26,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,26.3,23.7,2.6,26.3,23.7,"+2,6",26 may.,▲,#cb181d
2024-05-27,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.9,23.6,2.3,25.9,23.6,"+2,3",27 may.,▲,#cb181d
2024-05-28,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,32.6,24,8.6,32.6,24,"+8,6",28 may.,▲,#cb181d
2024-05-28,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.1,24,0.1,24.1,24,"+0,1",28 may.,▲,#cb181d
2024-05-29,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,34.4,24.1,10.3,34.4,24.1,"+10,3",29 may.,▲,#cb181d
2024-05-29,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.7,24.1,0.6,24.7,24.1,"+0,6",29 may.,▲,#cb181d
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.9,24,0.9,24.9,24,"+0,9",30 may.,▲,#cb181d
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,35.4,24,11.4,35.4,24,"+11,4",30 may.,▲,#cb181d
2024-05-30,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.9,24,0.9,24.9,24,"+0,9",30 may.,▲,#cb181d
2024-05-31,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.8,24.2,0.6,24.8,24.2,"+0,6",31 may.,▲,#cb181d
2024-05-31,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.8,24.2,0.6,24.8,24.2,"+0,6",31 may.,▲,#cb181d
2024-06-01,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.4,23.8,1.6,25.4,23.8,"+1,6", 1 jun.,▲,#cb181d
2024-06-02,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.6,24,1.6,25.6,24,"+1,6", 2 jun.,▲,#cb181d
2024-06-03,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.5,24.4,1.1,25.5,24.4,"+1,1", 3 jun.,▲,#cb181d
2024-06-04,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.2,24.4,-0.2,24.4,24.2,"-0,2", 4 jun.,▼,#2171b5
2024-06-05,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.7,24.1,-0.4,24.1,23.7,"-0,4", 5 jun.,▼,#2171b5
2024-06-06,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.6,24.2,0.4,24.6,24.2,"+0,4", 6 jun.,▲,#cb181d
2024-06-07,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.8,24.9,0.9,25.8,24.9,"+0,9", 7 jun.,▲,#cb181d
2024-06-08,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,24.3,24.6,-0.3,24.6,24.3,"-0,3", 8 jun.,▼,#2171b5
2024-06-08,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.1,24.6,0.5,25.1,24.6,"+0,5", 8 jun.,▲,#cb181d
2024-06-09,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.4,24.5,-1.1,24.5,23.4,"-1,1", 9 jun.,▼,#2171b5
2024-06-09,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.3,24.5,0.8,25.3,24.5,"+0,8", 9 jun.,▲,#cb181d
2024-06-10,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,23.8,24.4,-0.6,24.4,23.8,"-0,6",10 jun.,▼,#2171b5
2024-06-10,C129V,Fuencaliente (Sta. Cruz de Tenerife),Sta. Cruz de Tenerife,25.2,24.4,0.8,25.2,24.4,"+0,8",10 jun.,▲,#cb181d
