cod_mun,municipio,ccaa,provincia,d_previo,pob,d_actual,variacion
44009,Albarracín,Aragón,Teruel,47.05,780,47.05,15.400000000000002
45003,Albarreal de Tajo,Castilla-La Mancha,Toledo,42.41,585,42.41,91.30000000000001
02004,Albatana,Castilla-La Mancha,Albacete,51.27,546,51.27,30.800000000000004
03005,Albatera,Comunidad Valenciana,Alicante/Alacant,44.84,8267,44.84,18.700000000000003
25007,Albatàrrec,Cataluña,Lleida,25.83,1398,25.83,40.7
22009,Albelda,Aragón,Huesca,0,572,0,49.50000000000001
26005,Albelda de Iregua,La Rioja,La Rioja,34.79,2662,34.79,72.60000000000001
16006,Albendea,Castilla-La Mancha,Cuenca,45.13,111,45.13,52.800000000000004
19008,Albendiego,Castilla-La Mancha,Guadalajara,65.85,40,65.85,89.10000000000001
44010,Albentosa,Aragón,Teruel,43.08,188,43.08,7.700000000000001
46011,Alberic,Comunidad Valenciana,Valencia/València,39.13,7534,39.13,99.00000000000001
26006,Alberite,La Rioja,La Rioja,39.68,1969,39.68,93.50000000000001
50010,Alberite de San Juan,Aragón,Zaragoza,69.86,73,69.86,55.00000000000001
22011,Albero Alto,Aragón,Huesca,41.58,101,41.58,61.60000000000001
22012,Albero Bajo,Aragón,Huesca,41.48,94,41.48,72.60000000000001
22013,Alberuela de Tubo,Aragón,Huesca,48.6,249,48.6,39.6
25008,Albesa,Cataluña,Lleida,29.64,1079,29.64,39.6
50011,Albeta,Aragón,Zaragoza,57.98,119,57.98,104.50000000000001
09009,Albillos,Castilla y León,Burgos,52.29,174,52.29,101.2
43002,Albinyana,Cataluña,Tarragona,31.08,2063,31.08,46.2
20004,Albiztur,País Vasco,Gipuzkoa,39.18,244,39.18,34.1
12003,Albocàsser,Comunidad Valenciana,Castellón/Castelló,47.18,966,47.18,17.6
04005,Alboloduy,Andalucía,Almería,48.99,491,48.99,71.5
18003,Albolote,Andalucía,Granada,36.59,15165,36.59,17.6
18004,Albondón,Andalucía,Granada,31.52,632,31.52,15.400000000000002
17004,Albons,Cataluña,Girona,0,585,0,44
46012,Alborache,Comunidad Valenciana,Valencia/València,38.32,1115,38.32,106.7
46013,Alboraia/Alboraya,Comunidad Valenciana,Valencia/València,45.73,18704,45.73,11
02005,Alborea,Castilla-La Mancha,Albacete,48.21,527,48.21,3.3000000000000003
50012,Alborge,Aragón,Zaragoza,55.29,85,55.29,107.80000000000001
05005,Albornos,Castilla y León,Ávila,43.47,161,43.47,90.2
04006,Albox,Andalucía,Almería,29.39,7139,29.39,13.200000000000001
30004,Albudeite,Murcia,Murcia,37.24,1132,37.24,68.2
46014,Albuixech,Comunidad Valenciana,Valencia/València,46.12,3286,46.12,64.9
06006,Alburquerque,Extremadura,Badajoz,30.74,4202,30.74,45.1
18006,Albuñol,Andalucía,Granada,37.27,4003,37.27,83.60000000000001
18007,Albuñuelas,Andalucía,Granada,30.46,709,30.46,83.60000000000001
18005,Albuñán,Andalucía,Granada,34.14,366,34.14,15.400000000000002
45004,Alcabón,Castilla-La Mancha,Toledo,39.46,593,39.46,6.6000000000000005
02006,Alcadozo,Castilla-La Mancha,Albacete,54.07,563,54.07,86.9
44011,Alcaine,Aragón,Teruel,40.54,36,40.54,44
03006,Alcalalí,Comunidad Valenciana,Alicante/Alacant,42.9,512,42.9,102.30000000000001
12004,Alcalà de Xivert,Comunidad Valenciana,Castellón/Castelló,37.86,4328,37.86,101.2
50013,Alcalá de Ebro,Aragón,Zaragoza,54.63,204,54.63,50.6
41004,Alcalá de Guadaíra,Andalucía,Sevilla,33.28,60206,33.28,52.800000000000004
22014,Alcalá de Gurrea,Aragón,Huesca,50.94,212,50.94,52.800000000000004
28005,Alcalá de Henares,Madrid,Madrid,44.59,139358,44.59,34.1
50014,Alcalá de Moncayo,Aragón,Zaragoza,39.39,128,39.39,84.7
44012,Alcalá de la Selva,Aragón,Teruel,43.9,328,43.9,39.6
16008,Alcalá de la Vega,Castilla-La Mancha,Cuenca,60,65,60,17.6
11001,Alcalá de los Gazules,Andalucía,Cádiz,29.12,4387,29.12,15.400000000000002
02007,Alcalá del Júcar,Castilla-La Mancha,Albacete,53.08,947,53.08,56.1
22015,Alcalá del Obispo,Aragón,Huesca,42.9,315,42.9,49.50000000000001
41005,Alcalá del Río,Andalucía,Sevilla,35.44,9501,35.44,4.4
11002,Alcalá del Valle,Andalucía,Cádiz,38.22,4134,38.22,64.9
23002,Alcalá la Real,Andalucía,Jaén,39,17227,39,3.3000000000000003
22016,Alcampell,Aragón,Huesca,43.34,549,43.34,9.9
26007,Alcanadre,La Rioja,La Rioja,51.6,489,51.6,71.5
43004,Alcanar,Cataluña,Tarragona,30.21,6527,30.21,95.7
30005,Alcantarilla,Murcia,Murcia,35.35,31146,35.35,102.30000000000001
16009,Alcantud,Castilla-La Mancha,Cuenca,51.92,52,51.92,72.60000000000001
25010,Alcanó,Cataluña,Lleida,29.44,197,29.44,77
14003,Alcaracejos,Andalucía,Córdoba,44.66,1282,44.66,29.700000000000003
02008,Alcaraz,Castilla-La Mancha,Albacete,31.55,1103,31.55,16.5
25011,Alcarràs,Cataluña,Lleida,23.68,5417,23.68,52.800000000000004
29002,Alcaucín,Andalucía,Málaga,30.46,1283,30.46,56.1
23003,Alcaudete,Andalucía,Jaén,37.41,8384,37.41,37.400000000000006
45006,Alcaudete de la Jara,Castilla-La Mancha,Toledo,33.71,1373,33.71,51.7
47005,Alcazarén,Castilla y León,Valladolid,44.59,515,44.59,24.200000000000003
49003,Alcañices,Castilla y León,Zamora,36.68,853,36.68,94.60000000000001
44013,Alcañiz,Aragón,Teruel,35.74,11186,35.74,26.400000000000002
45005,Alcañizo,Castilla-La Mancha,Toledo,55.31,232,55.31,1.1
13006,Alcoba,Castilla-La Mancha,Ciudad Real,37.82,533,37.82,100.10000000000001
28006,Alcobendas,Madrid,Madrid,45.88,82528,45.88,105.60000000000001
19009,Alcocer,Castilla-La Mancha,Guadalajara,49.37,235,49.37,25.3
09010,Alcocero de Mola,Castilla y León,Burgos,0,39,0,49.50000000000001
16011,Alcohujate,Castilla-La Mancha,Cuenca,45,20,45,38.5
04007,Alcolea,Andalucía,Almería,37.06,693,37.06,80.30000000000001
13007,Alcolea de Calatrava,Castilla-La Mancha,Ciudad Real,43.78,1180,43.78,67.10000000000001
22017,Alcolea de Cinca,Aragón,Huesca,46.16,799,46.16,101.2
45007,Alcolea de Tajo,Castilla-La Mancha,Toledo,44.8,672,44.8,60.50000000000001
19010,Alcolea de las Peñas,Castilla-La Mancha,Guadalajara,66.66,9,66.66,59.400000000000006
19011,Alcolea del Pinar,Castilla-La Mancha,Guadalajara,41.58,206,41.58,46.2
41006,Alcolea del Río,Andalucía,Sevilla,27.21,2670,27.21,7.700000000000001
03008,Alcoleja,Comunidad Valenciana,Alicante/Alacant,48.23,168,48.23,108.9
25012,Alcoletge,Cataluña,Lleida,23.09,2430,23.09,41.800000000000004
10009,Alcollarín,Extremadura,Cáceres,32.36,241,32.36,84.7
42006,Alconaba,Castilla y León,Soria,41.76,170,41.76,56.1
37012,Alconada,Castilla y León,Salamanca,53.12,127,53.12,80.30000000000001
40005,Alconada de Maderuelo,Castilla y León,Segovia,61.53,25,61.53,83.60000000000001
06007,Alconchel,Extremadura,Badajoz,36.68,1395,36.68,101.2
50015,Alconchel de Ariza,Aragón,Zaragoza,40.84,71,40.84,36.300000000000004
16012,Alconchel de la Estrella,Castilla-La Mancha,Cuenca,47.82,69,47.82,66
06008,Alconera,Extremadura,Badajoz,58.11,615,58.11,99.00000000000001
28007,Alcorcón,Madrid,Madrid,45.51,129191,45.51,7.700000000000001
44014,Alcorisa,Aragón,Teruel,44.77,2429,44.77,94.60000000000001
19013,Alcoroches,Castilla-La Mancha,Guadalajara,55.85,111,55.85,94.60000000000001
03007,Alcocer de Planes,Comunidad Valenciana,Alicante/Alacant,53.53,197,53.53,56.1
43005,Alcover,Cataluña,Tarragona,28.82,3897,28.82,19.8
03009,Alcoy/Alcoi,Comunidad Valenciana,Alicante/Alacant,43.8,45953,43.8,28.6
22018,Alcubierre,Aragón,Huesca,57.69,309,57.69,14.3
42007,Alcubilla de Avellaneda,Castilla y León,Soria,59,100,59,52.800000000000004
49004,Alcubilla de Nogales,Castilla y León,Zamora,50.48,103,50.48,1.1
42008,Alcubilla de las Peñas,Castilla y León,Soria,48,50,48,13.200000000000001
13008,Alcubillas,Castilla-La Mancha,Ciudad Real,43.96,372,43.96,28.6
46018,Alcublas,Comunidad Valenciana,Valencia/València,55.23,589,55.23,23.1
04009,Alcudia de Monteagud,Andalucía,Almería,40.56,106,40.56,57.2
12006,Alcudia de Veo,Comunidad Valenciana,Castellón/Castelló,51.04,192,51.04,17.6
10010,Alcuéscar,Extremadura,Cáceres,28.17,2114,28.17,29.700000000000003
46016,Alcàntera de Xúquer,Comunidad Valenciana,Valencia/València,51.24,1081,51.24,52.800000000000004
46015,Alcàsser,Comunidad Valenciana,Valencia/València,43.5,7908,43.5,71.5
10008,Alcántara,Extremadura,Cáceres,42.39,1198,42.39,33
13005,Alcázar de San Juan,Castilla-La Mancha,Ciudad Real,39.79,23640,39.79,1.1
16010,Alcázar del Rey,Castilla-La Mancha,Cuenca,47.36,131,47.36,25.3
04008,Alcóntar,Andalucía,Almería,41.79,467,41.79,93.50000000000001
07003,Alcúdia,Baleares,Illes Balears,24.99,13062,24.99,4.4
46021,Aldaia,Comunidad Valenciana,Valencia/València,40.95,24928,40.95,53.900000000000006
40012,Aldea Real,Castilla y León,Segovia,54.38,228,54.38,101.2
47006,Aldea de San Miguel,Castilla y León,Valladolid,44.02,183,44.02,38.5
10012,Aldea del Cano,Extremadura,Cáceres,57.62,530,57.62,16.5
28008,Aldea del Fresno,Madrid,Madrid,35.41,2322,35.41,5.5
37015,Aldea del Obispo,Castilla y León,Salamanca,0,182,0,15.400000000000002
13009,Aldea del Rey,Castilla-La Mancha,Ciudad Real,46.02,1316,46.02,1.1
45008,Aldea en Cabo,Castilla-La Mancha,Toledo,53.42,146,53.42,41.800000000000004
10011,Aldeacentenera,Extremadura,Cáceres,39.16,548,39.16,30.800000000000004
37013,Aldeacipreste,Castilla y León,Salamanca,39.08,87,39.08,102.30000000000001
37014,Aldeadávila de la Ribera,Castilla y León,Salamanca,39.03,1051,39.03,63.800000000000004
42009,Aldealafuente,Castilla y León,Soria,49.36,76,49.36,108.9
40006,Aldealcorvo,Castilla y León,Segovia,0,17,0,29.700000000000003
37016,Aldealengua,Castilla y León,Salamanca,42.71,590,42.71,77
40007,Aldealengua de Pedraza,Castilla y León,Segovia,61.33,73,61.33,88
40008,Aldealengua de Santa María,Castilla y León,Segovia,45.09,42,45.09,37.400000000000006
42010,Aldealices,Castilla y León,Soria,47.05,17,47.05,6.6000000000000005
42011,Aldealpozo,Castilla y León,Soria,17.64,14,17.64,48.400000000000006
42012,Aldealseñor,Castilla y León,Soria,78.26,23,78.26,103.4
47007,Aldeamayor de San Martín,Castilla y León,Valladolid,39.35,4528,39.35,64.9
45009,Aldeanueva de Barbarroya,Castilla-La Mancha,Toledo,42.78,422,42.78,39.6
26008,Aldeanueva de Ebro,La Rioja,La Rioja,42.88,1766,42.88,107.80000000000001
37017,Aldeanueva de Figueroa,Castilla y León,Salamanca,51.54,222,51.54,80.30000000000001
19015,Aldeanueva de Guadalajara,Castilla-La Mancha,Guadalajara,0,94,0,89.10000000000001
45010,Aldeanueva de San Bartolomé,Castilla-La Mancha,Toledo,54.09,333,54.09,24.200000000000003
05007,Aldeanueva de Santa Cruz,Castilla y León,Ávila,53.12,96,53.12,82.5
40009,Aldeanueva de la Serrezuela,Castilla y León,Segovia,62.5,40,62.5,62.7
37018,Aldeanueva de la Sierra,Castilla y León,Salamanca,40.44,89,40.44,99.00000000000001
10014,Aldeanueva de la Vera,Extremadura,Cáceres,37.52,1738,37.52,94.60000000000001
10015,Aldeanueva del Camino,Extremadura,Cáceres,38.11,610,38.11,25.3
40010,Aldeanueva del Codonal,Castilla y León,Segovia,0,103,0,60.50000000000001
23004,Aldeaquemada,Andalucía,Jaén,50.88,395,50.88,26.400000000000002
37019,Aldearrodrigo,Castilla y León,Salamanca,47.55,143,47.55,30.800000000000004
37020,Aldearrubia,Castilla y León,Salamanca,42.95,440,42.95,4.4
05008,Aldeaseca,Castilla y León,Ávila,56.74,178,56.74,94.60000000000001
37021,Aldeaseca de Alba,Castilla y León,Salamanca,52.72,55,52.72,68.2
37022,Aldeaseca de la Frontera,Castilla y León,Salamanca,52.21,225,52.21,77
40013,Aldeasoña,Castilla y León,Segovia,58.46,65,58.46,57.2
37023,Aldeatejada,Castilla y León,Salamanca,41.67,1930,41.67,20.900000000000002
37024,Aldeavieja de Tormes,Castilla y León,Salamanca,42.04,88,42.04,3.3000000000000003
40014,Aldehorno,Castilla y León,Segovia,40.38,52,40.38,47.300000000000004
10016,Aldehuela de Jerte,Extremadura,Cáceres,41.8,311,41.8,34.1
50016,Aldehuela de Liestos,Aragón,Zaragoza,61.7,47,61.7,49.50000000000001
42013,Aldehuela de Periáñez,Castilla y León,Soria,50,28,50,75.9
37026,Aldehuela de Yeltes,Castilla y León,Salamanca,60.84,165,60.84,106.7
37025,Aldehuela de la Bóveda,Castilla y León,Salamanca,46.69,242,46.69,71.5
40015,Aldehuela del Codonal,Castilla y León,Segovia,63.63,21,63.63,69.30000000000001
18010,Aldeire,Andalucía,Granada,41.76,496,41.76,26.400000000000002
40016,Aldeonte,Castilla y León,Segovia,43.13,51,43.13,88
43006,Aldover,Cataluña,Tarragona,31.19,671,31.19,66
30006,Aledo,Murcia,Murcia,51.21,893,51.21,14.3
20005,Alegia,País Vasco,Gipuzkoa,39.46,1276,39.46,74.80000000000001
