OBJECTID,Identifica,X,Y,Comunidad,Provincia_isla,Municipio,nombre_completo,nombre_mun,slider_equipamiento,slider_ocupacion,filtro_accesible_sillas_ruedas,filtro_aseos,filtro_alquiler_sombrillas_hamacas,filtro_aparcamiento,filtro_chiringuito,filtro_duchas_lavapies,ficha_duchas,ficha_lavapies,filtro_socorrista,filtro_zona_infantil,ficha_papeleras,filtro_aguas_tranquilas,ficha_oleaje,filtro_baja_ocupacion,filtro_banderas_azules,filtro_nudista,ficha_nudismo,filtro_playa_piedras,filtro_playa_arena,ficha_tipo_playa,filtro_extensas_1km,ficha_longitud,ficha_anchura_max,filtro_acantilado_montana,filtro_dunas,ficha_entorno,filtro_paseo_completo,ficha_paseo,filtro_playa_aislada,ficha_urbanizacion,ficha_entorno_protegido,filtro_alquiler_nautico,filtro_club_náutico,filtro_fondo_barcos,filtro_submarinismo,filtro_surf,filtro_zona_deportiva,carretera,formas_acceso,transporte_publico,advertencia_acceso,hospital,distancia_hospital,filtro_canina,ficha_canina,cod_ine,mun_ine
51,11,-3.01419999955907,36.7446999990484,Andalucía,Almería,Adra,San Nicolás,San Nicolás (Adra),9.00,Alto,s,s,n,s,s,s,s,s,s,n,s,n,Aguas tranquilas,n,s,n,no permitido,s,n,Playa de piedras y arena oscura,n,600 metros,35 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,n,s,s,n,n,s,Autovía del Mediterráneo (E-15),Acceso exclusivo en coche,s,,Hospital de Poniente,21 km,n,no permitido,04003,
52,12,-2.38069999971663,36.8366999990034,Andalucía,Almería,Almería,Costacabana,Costacabana (Almería),9.00,Alto,s,s,n,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,n,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.200 metros,30 metros,n,n,Entorno semiurbano,s,Paseo marítimo,n,Urbana,n,n,n,s,n,n,s,Ctra. de Almería,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,7 km,n,no permitido,04013,
53,13,-2.41589999993291,36.8177999987948,Andalucía,Almería,Almería,El Bobar / La Cañada,El Bobar / La Cañada (Almería),5.00,Bajo,s,n,n,s,n,n,n,n,n,n,n,n,Aguas tranquilas,s,n,n,no permitido,n,s,Playa de arena oscura,s,1.300 metros,15 metros,n,n,Entorno semiurbano,s,Paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL-3202,Acceso exclusivo en coche,s,,Hospital de Torrecárdenas,6 km,s,completa,04013,
54,14,-2.36940000012953,36.8408999989419,Andalucía,Almería,Almería,El Perdigal / Alquián,El Perdigal / Alquián (Almería),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,n,s,Playa de arena oscura,s,2.450 metros,30 metros,n,s,Dunas,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,Ctra. de Almería,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,6 km,n,no permitido,04013,
55,15,-2.3286000003484,36.8367999989776,Andalucía,Almería,Almería,El Toyo,El Toyo (Almería),10.00,Bajo,s,s,s,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,s,s,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.300 metros,55 metros,n,s,Dunas,s,Paseo marítimo,n,Urbana,n,n,n,s,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,2 km,n,no permitido,04013,
56,16,-2.21749999969383,36.7492999992654,Andalucía,Almería,Almería,La Almadraba de Monteleva,La Almadraba de Monteleva (Almería),7.75,Medio,s,n,n,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,n,n,n,no permitido,n,s,Playa de arena clara,n,660 metros,30 metros,n,s,Dunas,s,Paseo marítimo,n,Semiurbana,s,n,n,n,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,19 km,n,no permitido,04013,
57,17,-2.20820000027213,36.7385999988932,Andalucía,Almería,Almería,La Fabriquilla,La Fabriquilla (Almería),6.75,Medio,s,n,n,s,s,s,s,s,n,n,s,s,Oleaje fuerte y con viento,n,n,n,no permitido,s,n,Playa de piedras y arena clara,n,600 metros,30 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,n,Semiurbana,s,s,n,n,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,7 km,n,no permitido,04013,
58,18,-2.51610000013516,36.8254999993563,Andalucía,Almería,Almería,La Garrofa / Camping de La Garrofa,La Garrofa / Camping de La Garrofa (Almería),3.25,Medio,n,n,n,s,n,n,n,n,n,n,n,n,Aguas tranquilas,n,n,n,no permitido,s,n,Playa de piedras,n,150 metros,20 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,s,n,n,N-340a,Acceso exclusivo en coche,s,,Hospital de Torrecárdenas,10 km,n,no permitido,04013,
9,19,-2.27830000023074,36.811599999185,Andalucía,Almería,Almería,Las Amoladeras,Las Amoladeras (Almería),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,3.750 metros,100 metros,n,s,Dunas,n,Sin paseo marítimo,s,Aislada,s,n,n,n,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,9 km,n,no permitido,04013,
10,20,-2.48780000004037,36.8314999992171,Andalucía,Almería,Almería,Las Olas,Las Olas (Almería),3.35,Bajo,n,n,n,s,n,n,n,n,n,n,s,n,Aguas tranquilas,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,250 metros,25 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,"N-340a, Autovía del Mediterráneo (E-15)",Acceso exclusivo en coche,n,Acceso exclusivo en coche,Hospital de Torrecárdenas,6 km,n,no permitido,04013,
11,21,-2.23160000041081,36.7658999992588,Andalucía,Almería,Almería,Las Salinas de Cabo de Gata,Las Salinas de Cabo de Gata (Almería),4.1,Medio,n,n,n,s,s,n,n,n,n,n,s,n,Oleaje moderado y con viento,n,n,n,no permitido,n,s,Playa de arena clara,s,2.500 metros,95 metros,n,n,Humedal,n,Sin paseo marítimo,s,Aislada,s,n,n,n,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,15 km,n,no permitido,04013,
12,22,-2.43729999990616,36.8172999992895,Andalucía,Almería,Almería,Nueva Almería,Nueva Almería (Almería),10.00,Alto,s,s,s,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,s,n,no permitido,n,s,Playa de arena oscura,s,1.500 metros,45 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,n,n,n,n,s,AL-3202,Acceso exclusivo en coche,s,,Hospital de Torrecárdenas,5 km,n,no permitido,04013,
13,23,-2.31469999964794,36.8317999990099,Andalucía,Almería,Almería,Retamar,Retamar (Almería),10.00,Alto,s,s,s,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,n,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.250 metros,45 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,n,n,s,n,n,s,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,3 km,n,no permitido,04013,
14,24,-2.44959999957595,36.8255999988712,Andalucía,Almería,Almería,Zapillo / Las Conchas,Zapillo / Las Conchas (Almería),10.00,Alto,s,s,s,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,n,n,no permitido,n,s,Playa de arena oscura,s,1.550 metros,40 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,s,n,n,s,s,AL-3202,Acceso exclusivo en coche,s,,Hospital de Torrecárdenas,4 km,n,no permitido,04013,
15,25,-2.24539999975552,36.7801999988321,Andalucía,Almería,Almería,San Miguel de Cabo de Gata,San Miguel de Cabo de Gata (Almería),10.00,Alto,s,s,s,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,n,s,n,no permitido,n,s,Playa de arena oscura,s,2.500 metros,90 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,s,s,n,s,n,n,s,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,14 km,n,no permitido,04013,
16,26,-2.49419999967136,36.82859999905,Andalucía,Almería,Almería,San Telmo,San Telmo (Almería),0,Bajo,n,n,n,n,n,n,n,n,n,n,n,n,Aguas tranquilas,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,100 metros,20 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,N-340a,Acceso exclusivo a pie (difícil),n,Acceso exclusivo a pie,Hospital de Torrecárdenas,5 km,n,no permitido,04013,
17,27,-2.29999999977965,36.8248999988028,Andalucía,Almería,Almería,Torregarcía,Torregarcía (Almería),3.35,Bajo,n,n,n,s,n,n,n,n,n,n,s,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.800 metros,90 metros,n,s,Dunas,n,Sin paseo marítimo,s,Aislada,s,n,n,n,n,n,n,AL- 3115,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,4 km,n,no permitido,04013,
18,28,-2.90870000026595,36.7444999988242,Andalucía,Almería,Balanegra,Balanegra,Balanegra (Balanegra),10.00,Medio,s,s,s,s,s,s,s,s,s,n,s,n,Oleaje moderado y con viento,n,s,n,no permitido,s,n,Playa de piedras y arena oscura,s,2.600 metros,50 metros,n,n,Entorno urbano,s,Paseo marítimo parcial,n,Semiurbana,n,n,n,s,n,n,s,Autovía del Mediterráneo (E-15),Acceso exclusivo en coche,s,,Hospital de Poniente,12 km,n,no permitido,04904,
19,29,-1.876799999813,37.0336999991826,Andalucía,Almería,Carboneras,El Algarrobico,El Algarrobico (Carboneras),3.35,Bajo,n,n,n,s,n,n,n,n,n,n,s,n,Aguas tranquilas,s,n,n,no permitido,s,n,Playa de piedras y arena dorada,s,1.350 metros,37 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,s,n,n,n,n,n,n,AL- 5105,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
20,30,-1.88910000038113,37.0031999987837,Andalucía,Almería,Carboneras,El Ancón,El Ancón (Carboneras),9.00,Alto,s,s,n,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,s,n,no permitido,n,s,Playa de arena oscura,s,1.700 metros,40 metros,n,n,Entorno urbano,s,Paseo marítimo parcial,n,Urbana,n,s,n,s,n,n,s,AL- 5105,Acceso en coche y a pie (fácil),s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
21,31,-1.87940000002804,37.023899999168,Andalucía,Almería,Carboneras,La Galera,La Galera (Carboneras),1.6,Bajo,n,n,n,n,n,n,n,n,n,n,s,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de rocas y arena oscura,n,800 metros,15 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 5105,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
22,32,-1.9016999996266,36.9848999990939,Andalucía,Almería,Carboneras,Las Marinicas,Las Marinicas (Carboneras),9.00,Alto,s,s,n,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,s,n,no permitido,n,s,Playa de arena dorada,s,1.330 metros,75 metros,n,n,Entorno semiurbano,s,Paseo marítimo,n,Urbana,n,n,n,s,n,n,s,AL- 5106,Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
65,33,-1.89550000001212,36.9943999992026,Andalucía,Almería,Carboneras,Los Barquicos / Los Cocones,Los Barquicos / Los Cocones (Carboneras),10.00,Medio,s,s,s,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,s,n,no permitido,n,s,Playa de arena dorada,n,600 metros,70 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,s,n,n,s,s,N-341 (Venta del Pobre-Carboneras),Acceso exclusivo en coche,s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
73,34,-1.89859999981934,36.9528999993116,Andalucía,Almería,Carboneras,Los Muertos,Los Muertos (Carboneras),1.85,Bajo,n,n,n,s,n,n,n,n,n,n,s,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena clara,s,1.160 metros,70 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,s,n,n,n,n,n,n,AL- 5106,Acceso exclusivo a pie (fácil),s,,Hospital de Alta Resolución El Toyo,50 km,n,no permitido,04032,
74,35,-1.70749999973485,37.3054999991877,Andalucía,Almería,Cuevas del Almanzora,Cabezo Negro,Cabezo Negro (Cuevas del Almanzora),0,Bajo,n,n,n,n,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,50 metros,15 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo a pie (difícil),s,,Hospital Inmaculada,48 km,n,no permitido,04035,
75,36,-1.73860000006122,37.2798999991974,Andalucía,Almería,Cuevas del Almanzora,Cala Cristal,Cala Cristal (Cuevas del Almanzora),0,Bajo,n,n,n,n,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,170 metros,15 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo a pie (difícil),s,,Hospital Inmaculada,45 km,n,no permitido,04035,
76,37,-1.76480000043148,37.2538999990069,Andalucía,Almería,Cuevas del Almanzora,Cala de la Dolores,Cala de la Dolores (Cuevas del Almanzora),4.6,Bajo,n,s,n,s,n,n,n,n,n,n,s,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras,n,150 metros,25 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,39 km,n,no permitido,04035,
77,38,-1.755700000128,37.2651999988268,Andalucía,Almería,Cuevas del Almanzora,Cala Invencible,Cala Invencible (Cuevas del Almanzora),4.25,Bajo,n,n,n,s,n,n,n,n,s,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,400 metros,20 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,s,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,39 km,n,no permitido,04035,
78,39,-1.69940000041243,37.3211999990731,Andalucía,Almería,Cuevas del Almanzora,Cala Panizo,Cala Panizo (Cuevas del Almanzora),4.25,Medio,n,n,n,s,n,s,s,s,n,n,s,n,Aguas tranquilas,n,n,n,no permitido,s,n,Playa de piedras y arena dorada,n,750 metros,25 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,49 km,n,no permitido,04035,
79,40,-1.70600000005997,37.3093999989036,Andalucía,Almería,Cuevas del Almanzora,El Calón,El Calón (Cuevas del Almanzora),5.00,Bajo,n,n,n,s,s,s,s,s,n,s,s,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de rocas y arena oscura,n,500 metros,25 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,n,Semiurbana,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,46 km,n,no permitido,04035,
80,41,-1.73140000036404,37.2852999993655,Andalucía,Almería,Cuevas del Almanzora,Embarcadero Viejo,Embarcadero Viejo (Cuevas del Almanzora),0,Bajo,n,n,n,n,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras,n,100 metros,20 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo a pie (difícil),s,,Hospital Inmaculada,43 km,n,no permitido,04035,
29,42,-1.77839999975965,37.238699999085,Andalucía,Almería,Cuevas del Almanzora,Fábrica del Duro,Fábrica del Duro (Cuevas del Almanzora),3.25,Bajo,n,n,n,s,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena dorada,n,600 metros,15 metros,n,s,Dunas,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,39 km,n,no permitido,04035,
30,43,-1.7453999997253,37.2735999992071,Andalucía,Almería,Cuevas del Almanzora,Peñón Cortado,Peñón Cortado (Cuevas del Almanzora),1.5,Bajo,n,n,n,n,n,n,n,n,n,n,n,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,n,110 metros,15 metros,s,n,Montaña y/o acantilado,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,n,AL- 7107,Acceso en coche y a pie (fácil),s,,Hospital Inmaculada,43 km,n,no permitido,04035,
31,44,-1.6933999999162,37.3317999989448,Andalucía,Almería,Cuevas del Almanzora,Pozo del Esparto,Pozo del Esparto (Cuevas del Almanzora),9.00,Medio,s,s,n,s,s,s,s,s,s,n,s,s,Oleaje moderado,n,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,1.200 metros,25 metros,n,n,Entorno semiurbano,s,Paseo marítimo,n,Urbana,n,n,n,n,n,n,n,AL- 7107,Acceso exclusivo en coche,s,,Hospital Inmaculada,51 km,n,no permitido,04035,
32,45,-1.7924000000192,37.234299999151,Andalucía,Almería,Cuevas del Almanzora,Quitapellejos / Palomares,Quitapellejos / Palomares (Cuevas del Almanzora),9.00,Bajo,s,s,n,s,s,s,s,s,s,n,s,s,Oleaje moderado,s,n,n,no permitido,s,n,Playa de piedras y arena dorada,s,1.400 metros,30 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,s,Aislada,n,n,n,n,n,n,s,AL- 7107,Acceso en coche y a pie (fácil),s,,Hospital Inmaculada,39 km,n,no permitido,04035,
81,46,-1.76919999989707,37.2498999991899,Andalucía,Almería,Cuevas del Almanzora,Villaricos,Villaricos (Cuevas del Almanzora),9.00,Medio,s,s,n,s,s,s,s,s,s,s,s,n,Aguas tranquilas,n,n,n,no permitido,s,n,Playa de piedras,n,550 metros,40 metros,n,n,Entorno semiurbano,s,Paseo marítimo,n,Urbana,s,n,s,n,s,n,n,AL- 7107,Acceso en coche y a pie (fácil),s,,Hospital Inmaculada,39 km,n,no permitido,04035,
82,47,-2.7830999997596,36.6915999991665,Andalucía,Almería,El Ejido,Levante Almerimar,Levante Almerimar (El Ejido),10.00,Medio,s,s,s,s,s,s,s,s,s,s,s,n,Oleaje moderado y con viento,n,s,n,no permitido,n,s,Playa de arena oscura,s,1.000 metros,90 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,s,s,n,s,s,AL-906,Acceso en coche y a pie (fácil),s,,Hospital de Poniente,6 km,n,no permitido,04902,
83,48,-2.80289999960054,36.7028999990542,Andalucía,Almería,El Ejido,Poniente Almerimar,Poniente Almerimar (El Ejido),10.00,Medio,s,s,s,s,s,s,s,s,s,s,s,n,Oleaje moderado y con viento,n,s,n,no permitido,n,s,Playa de arena oscura,s,1.950 metros,90 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,s,s,s,n,s,s,AL-906,Acceso en coche y a pie (fácil),s,,Hospital de Poniente,6 km,n,no permitido,04902,
84,49,-2.88439999960367,36.7263999993484,Andalucía,Almería,El Ejido,Balerma,Balerma (El Ejido),9.00,Medio,s,s,n,s,s,s,s,s,s,s,s,n,Oleaje moderado y con viento,n,s,n,no permitido,s,n,Playa de piedras y arena oscura,s,2.090 metros,40 metros,n,n,Entorno urbano,s,Paseo marítimo,n,Urbana,n,n,s,s,n,n,s,AL-9036 (Balerma-Guardas Viejas),Acceso en coche y a pie (fácil),s,,Hospital de Poniente,12 km,s,parcial,04902,
86,50,-2.67850000009177,36.6920999988783,Andalucía,Almería,El Ejido,Cerrillos / Punta Entinas,Cerrillos / Punta Entinas (El Ejido),0.1,Bajo,n,n,n,n,n,n,n,n,n,n,s,n,Oleaje moderado y con viento,s,n,n,no permitido,n,s,Playa de arena oscura,s,4.500 metros,90 metros,n,s,Dunas,n,Sin paseo marítimo,s,Aislada,s,n,n,s,n,n,n,AL-9006,Acceso exclusivo a pie (fácil),n,Acceso exclusivo a pie,Hospital de Poniente,16 km,n,no permitido,04902,
87,51,-2.84230000016421,36.6981999990475,Andalucía,Almería,El Ejido,Los Baños / Guardias Viejas / Punta de Culo de Perro,Los Baños / Guardias Viejas / Punta de Culo de Perro (El Ejido),6.50,Bajo,n,s,n,s,n,s,s,s,s,s,s,n,Oleaje moderado y con viento,s,n,n,no permitido,s,n,Playa de piedras y arena oscura,s,3.000 metros,60 metros,n,n,Entorno semiurbano,n,Sin paseo marítimo,s,Aislada,n,n,n,s,n,s,n,AL-9036 (Balerma-Guardias Viejas),Acceso exclusivo en coche,s,,Hospital de Poniente,9 km,n,no permitido,04902,
